index,Date,Amount,Department
6,2012-07,173507.68,Attorney General's Office
7,2012-08,265222.32,Attorney General's Office
8,2012-09,242009.75,Attorney General's Office
9,2012-10,289422.08,Attorney General's Office
10,2012-11,339212.5,Attorney General's Office
11,2012-12,535818.2,Attorney General's Office
12,2013-01,45927.28,Attorney General's Office
13,2013-02,394104.79,Attorney General's Office
14,2013-03,398343.70999999996,Attorney General's Office
15,2013-04,2986546.5900000003,Attorney General's Office
16,2013-05,102874.79000000001,Attorney General's Office
17,2013-06,388059.32,Attorney General's Office
18,2013-07,196221.26,Attorney General's Office
19,2013-08,348643.04,Attorney General's Office
20,2013-09,161613.34,Attorney General's Office
21,2013-10,216595.46,Attorney General's Office
22,2013-11,419599.47,Attorney General's Office
23,2013-12,572388.69,Attorney General's Office
24,2014-01,58930.23,Attorney General's Office
25,2014-02,233849.25,Attorney General's Office
26,2014-03,1768430.51,Attorney General's Office
27,2014-04,557785.1,Attorney General's Office
28,2014-05,367754.89,Attorney General's Office
29,2014-06,358601.85,Attorney General's Office
30,2014-07,595516.12,Attorney General's Office
31,2014-08,647841.17,Attorney General's Office
32,2014-09,569532.78,Attorney General's Office
33,2014-10,272364.81,Attorney General's Office
34,2014-11,829969.01,Attorney General's Office
35,2014-12,1022008.36,Attorney General's Office
36,2015-01,73619.89,Attorney General's Office
37,2015-02,488540.41,Attorney General's Office
38,2015-03,402309.76,Attorney General's Office
39,2015-04,860513.5,Attorney General's Office
40,2015-05,149166.92,Attorney General's Office
41,2015-06,167101.32,Attorney General's Office
42,2015-07,174912.92,Attorney General's Office
43,2015-08,144580.85,Attorney General's Office
44,2015-09,228164.79,Attorney General's Office
45,2015-10,166241.07,Attorney General's Office
46,2015-11,386518.33,Attorney General's Office
47,2015-12,597761.83,Attorney General's Office
48,2016-01,93624.38,Attorney General's Office
49,2016-02,336929.33999999997,Attorney General's Office
50,2016-03,430387.12,Attorney General's Office
51,2016-04,253401.82,Attorney General's Office
52,2016-05,398389.44,Attorney General's Office
53,2016-06,318891.5,Attorney General's Office
54,2016-07,92118.06,Attorney General's Office
55,2016-08,379894.27999999997,Attorney General's Office
56,2016-09,692953.05,Attorney General's Office
57,2016-10,240029.02,Attorney General's Office
58,2016-11,328943.09,Attorney General's Office
59,2016-12,537993.71,Attorney General's Office
60,2017-01,53339.79,Attorney General's Office
61,2017-02,346784.15,Attorney General's Office
62,2017-03,412013.31,Attorney General's Office
63,2017-04,407016.62,Attorney General's Office
64,2017-05,399959.47,Attorney General's Office
65,2017-06,329475.21,Attorney General's Office
66,2017-07,114560.68,Attorney General's Office
67,2017-08,125581.32,Attorney General's Office
68,2017-09,412704.48,Attorney General's Office
69,2017-10,194461.18,Attorney General's Office
70,2017-11,346153.58,Attorney General's Office
71,2017-12,424685.89,Attorney General's Office
72,2018-01,201038.24,Attorney General's Office
73,2018-02,190577.37,Attorney General's Office
74,2018-03,233576.01,Attorney General's Office
75,2018-04,305595.32,Attorney General's Office
76,2018-05,240269.13,Attorney General's Office
77,2018-06,202685.23,Attorney General's Office
78,2018-07,202007.1,Attorney General's Office
79,2018-08,237677.9,Attorney General's Office
80,2018-09,195039.28,Attorney General's Office
81,2018-10,104776.43,Attorney General's Office
82,2018-11,640372.03,Attorney General's Office
83,2018-12,769356.74,Attorney General's Office
84,2019-01,84131.34,Attorney General's Office
85,2019-02,279821.35,Attorney General's Office
86,2019-03,624758.85,Attorney General's Office
87,2019-04,254545.66,Attorney General's Office
88,2019-05,195925.16,Attorney General's Office
89,2019-06,267724.83,Attorney General's Office
90,2019-07,399689.3,Attorney General's Office
91,2019-08,247382.66,Attorney General's Office
92,2019-09,498968.46,Attorney General's Office
93,2019-10,102535.75,Attorney General's Office
94,2019-11,1079380.05,Attorney General's Office
95,2019-12,733547.63,Attorney General's Office
96,2020-01,193804.7,Attorney General's Office
97,2020-02,354663.38,Attorney General's Office
98,2020-03,348471.67,Attorney General's Office
99,2020-04,161751.97,Attorney General's Office
100,2020-05,246006.16,Attorney General's Office
101,2020-06,66415.14,Attorney General's Office
102,2020-07,286812.11,Attorney General's Office
103,2020-08,381782.92,Attorney General's Office
104,2020-09,279352.29,Attorney General's Office
105,2020-10,107691.69,Attorney General's Office
106,2020-11,193032.38,Attorney General's Office
107,2020-12,453334.43,Attorney General's Office
108,2021-01,164571.97,Attorney General's Office
109,2021-02,600806.0700000001,Attorney General's Office
110,2021-03,171708.88,Attorney General's Office
111,2021-04,124969.77,Attorney General's Office
112,2021-05,114954.24,Attorney General's Office
113,2021-06,675434.15,Attorney General's Office
114,2021-07,200273.96,Attorney General's Office
115,2021-08,356465.29,Attorney General's Office
116,2021-09,277364.8,Attorney General's Office
117,2021-10,129132.3,Attorney General's Office
118,2021-11,375852.79,Attorney General's Office
119,2021-12,588133.8,Attorney General's Office
120,2022-01,207652.71,Attorney General's Office
121,2022-02,485839.93,Attorney General's Office
122,2022-03,396035.67,Attorney General's Office
123,2022-04,648671.23,Attorney General's Office
124,2022-05,345310.56,Attorney General's Office
125,2022-06,393908.79,Attorney General's Office
126,2022-07,205152.06,Attorney General's Office
127,2022-08,318177.23,Attorney General's Office
128,2022-09,704332.71,Attorney General's Office
129,2022-10,437984.19,Attorney General's Office
130,2022-11,505940.32,Attorney General's Office
131,2022-12,774683.26,Attorney General's Office
132,2023-01,68102.22,Attorney General's Office
133,2023-02,541569.73,Attorney General's Office
134,2023-03,276050.58,Attorney General's Office
135,2023-04,256338.82,Attorney General's Office
136,2023-05,414101.12,Attorney General's Office
137,2023-06,614036.2,Attorney General's Office
138,2023-07,610513.18,Attorney General's Office
139,2023-08,192315.73,Attorney General's Office
140,2023-09,131503.83,Attorney General's Office
141,2023-10,324221.57,Attorney General's Office
142,2023-11,364739.77,Attorney General's Office
143,2023-12,562163.24,Attorney General's Office
144,2024-01,317360.86,Attorney General's Office
145,2024-02,402092.28,Attorney General's Office
146,2024-03,362536.87,Attorney General's Office
147,2024-04,368538.51,Attorney General's Office
148,2024-05,340761.86,Attorney General's Office
149,2024-06,453639.4,Attorney General's Office
150,2024-07,357425.15,Attorney General's Office
151,2024-08,362762.31,Attorney General's Office
152,2024-09,334491.06,Attorney General's Office
153,2024-10,360526.87,Attorney General's Office
154,2024-11,391192.99,Attorney General's Office
155,2024-12,468953.98,Attorney General's Office
156,2025-01,327392.14,Attorney General's Office
157,2025-02,390204.24,Attorney General's Office
158,2025-03,382551.9,Attorney General's Office
159,2025-04,348874.61,Attorney General's Office
160,2025-05,376550.48,Attorney General's Office
161,2025-06,408657.0,Attorney General's Office
162,2025-07,382477.72,Attorney General's Office
163,2025-08,355167.01,Attorney General's Office
164,2025-09,350542.41,Attorney General's Office
165,2025-10,369769.55,Attorney General's Office
166,2025-11,376894.43,Attorney General's Office
167,2025-12,458583.25,Attorney General's Office
0,2012-01,3273.85,Auditors of Public Accounts
1,2012-02,6849.6900000000005,Auditors of Public Accounts
2,2012-03,17418.98,Auditors of Public Accounts
3,2012-04,10424.24,Auditors of Public Accounts
4,2012-05,6326.2,Auditors of Public Accounts
5,2012-06,5749.03,Auditors of Public Accounts
6,2012-07,26128.9,Auditors of Public Accounts
7,2012-08,86461.15000000001,Auditors of Public Accounts
8,2012-09,59235.86,Auditors of Public Accounts
9,2012-10,97685.76,Auditors of Public Accounts
10,2012-11,38529.63,Auditors of Public Accounts
11,2012-12,104116.07,Auditors of Public Accounts
12,2013-01,5810.26,Auditors of Public Accounts
13,2013-02,21463.65,Auditors of Public Accounts
14,2013-03,12658.23,Auditors of Public Accounts
15,2013-04,28702.62,Auditors of Public Accounts
16,2013-05,25203.57,Auditors of Public Accounts
17,2013-06,13851.210000000001,Auditors of Public Accounts
18,2013-07,23624.149999999998,Auditors of Public Accounts
19,2013-08,9465.99,Auditors of Public Accounts
20,2013-09,8798.82,Auditors of Public Accounts
21,2013-10,29250.52,Auditors of Public Accounts
22,2013-11,21102.69,Auditors of Public Accounts
23,2013-12,65282.159999999996,Auditors of Public Accounts
24,2014-01,9433.95,Auditors of Public Accounts
25,2014-02,27964.48,Auditors of Public Accounts
26,2014-03,16650.07,Auditors of Public Accounts
27,2014-04,9896.19,Auditors of Public Accounts
28,2014-05,7070.400000000001,Auditors of Public Accounts
29,2014-06,10100.02,Auditors of Public Accounts
30,2014-07,20995.34,Auditors of Public Accounts
31,2014-08,5458.9,Auditors of Public Accounts
32,2014-09,12090.9,Auditors of Public Accounts
33,2014-10,10501.82,Auditors of Public Accounts
34,2014-11,35416.689999999995,Auditors of Public Accounts
35,2014-12,69129.31,Auditors of Public Accounts
36,2015-01,13541.640000000001,Auditors of Public Accounts
